,주소,위도,경도
0,대구광역시 중구 대신동,35.8669269,128.5793045
1,대구광역시 달서구 감삼동,35.8485482,128.540915
2,대구광역시 수성구 두산동,35.8307094,128.619849
3,대구광역시 북구 복현동,35.8968175,128.6194541
4,대구광역시 동구 신암동,35.88399,128.62359
5,대구광역시 수성구 지산동,35.8232092,128.6318527
6,대구광역시 달서구 상인동,35.8171266,128.5437159
7,대구광역시 북구 태전동,35.9234127,128.5459483
8,대구광역시 동구 지묘동,35.95125,128.64636
9,대구광역시 서구 평리동,35.8733773,128.5584061
10,대구광역시 동구 신기동,35.8656,128.70335
11,대구광역시 서구 상리동,35.87635,128.52523
12,대구광역시 달서구 월성동,35.828762,128.5155037
13,대구광역시 수성구 황금동,35.8457954,128.6263968
14,대구광역시 북구 구암동,35.929559,128.5581603
15,대구광역시 동구 신천동,35.87257,128.62181
16,대구광역시 수성구 만촌동,35.8637921,128.6463405
17,대구광역시 중구 남산동,35.8616174,128.587267
18,대구광역시 서구 비산동,35.88021,128.5713
19,대구광역시 북구 침산동,35.8920401,128.5878923
20,대구광역시 달서구 두류동,35.8566057,128.5648257
21,대구광역시 수성구 신매동,35.83496,128.70863
22,대구광역시 달서구 대곡동,35.808348505838,128.52709012631
23,대구광역시 달성군 유가읍,35.6940422,128.4597255
24,대구광역시 달성군 논공읍,35.7310508,128.4516311
25,대구광역시 동구 율하동,35.86652,128.69071
26,대구광역시 수성구 시지동,35.84276,128.69352
27,대구광역시 동구 봉무동,35.9225867,128.6409109
28,대구광역시 달성군 다사읍,35.8622907,128.4620011
29,대구광역시 중구 동산동,35.86824,128.58471
30,대구광역시 서구 이현동,35.87628,128.53886
31,대구광역시 남구 이천동,35.8519911,128.6011321
32,대구광역시 수성구 수성동4가,35.86426,128.61567
33,대구광역시 북구 노원동3가,35.89643,128.56532
34,대구광역시 북구 서변동,35.92364,128.59565
35,대구광역시 북구 관음동,35.93986,128.54382
36,대구광역시 북구 학정동,35.95291,128.56546
37,대구광역시 수성구 파동,35.8147288,128.6153796
38,대구광역시 수성구 상동,35.83279,128.61123
39,대구광역시 달서구 이곡동,35.85409,128.50764
40,대구광역시 동구 효목동,35.8814761,128.6437167
41,대구광역시 북구 읍내동,35.9480902,128.5521832
42,대구광역시 중구 남성로,35.8683,128.58952
43,대구광역시 달서구 죽전동,35.8554316,128.5365409
44,대구광역시 남구 대명동,35.83873,128.5751
45,대구광역시 북구 동천동,35.9397814,128.5597379
46,대구광역시 동구 지저동,35.8959979,128.6394776
47,대구광역시 북구 사수동,35.90089,128.51321
48,대구광역시 중구 덕산동,35.866037,128.593312
49,대구광역시 달서구 본리동,35.8409108,128.5392702
50,대구광역시 동구 용계동,35.87377,128.68835
51,대구광역시 수성구 범어동,35.8593608,128.6320249
52,대구광역시 달서구 신당동,35.8477231,128.4864574
53,대구광역시 달서구 성당동,35.8426178,128.5540792
54,대구광역시 달서구 용산동,35.8571362,128.52484
55,대구광역시 중구 태평로3가,35.8771842,128.5857221
56,대구광역시 동구 도학동,35.98966,128.71429
57,대구광역시 수성구 욱수동,35.81206,128.69754
58,대구광역시 동구 불로동,35.9040539,128.6338764
59,대구광역시 북구 칠성동1가,35.8756488,128.6052204
60,대구광역시 달서구 장기동,35.8446408,128.519156
61,대구광역시 수성구 매호동,35.85066,128.70837
62,대구광역시 달서구 대천동,35.8228905,128.5030871
63,대구광역시 중구 삼덕동1가,35.86596,128.59744
64,대구광역시 수성구 수성동2가,35.85553,128.61541
65,대구광역시 북구 팔달동,35.89879,128.54051
66,대구광역시 수성구 삼덕동,35.82785,128.66711
67,대구광역시 달서구 진천동,35.8107208,128.5212715
68,대구광역시 수성구 수성동3가,35.8554,128.61911
69,대구광역시 달성군 가창면,35.7778073,128.6476679
70,대구광역시 동구 방촌동,35.8790343,128.6644411
71,대구광역시 북구 산격동,35.90163,128.60464
72,대구광역시 달서구 월암동,35.8273206,128.5082398
73,대구광역시 달성군 현풍읍,35.6974883,128.4475083
74,대구광역시 달성군 구지면,35.65198,128.41084
75,대구광역시 북구 매천동,35.913,128.53976
76,대구광역시 달서구 송현동,35.8274918,128.5526093
77,대구광역시 북구 고성동3가,35.8825304,128.5839623
78,대구광역시 남구 봉덕동,35.8405228,128.5985277
79,대구광역시 북구 칠성동2가,35.87995,128.5957
80,대구광역시 중구 공평동,35.87032,128.59819
81,대구광역시 중구 봉산동,35.86322,128.59761
82,대구광역시 동구 괴전동,35.87165,128.73904
83,대구광역시 북구 국우동,35.9529998,128.5799093
84,대구광역시 북구 대현동,35.88326,128.60829
